"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"289" 604316.790068 648196.65060702 2 1 "S" 1 "A1" "1S1A1"
"290" 604316.80903575 648206.832260489 2 1 "S" 1 "A1" "1S1A1"
"291" 604327.007916 648207.127303958 2 1 "S" 1 "A1" "1S1A1"
"292" 604326.990064 648196.956336021 2 1 "S" 1 "A1" "1S1A1"
"293" 604316.80903575 648206.832260489 4 2 "S" 1 "A1" "2S1A1"
"294" 604316.8280035 648217.013914019 4 2 "S" 1 "A1" "2S1A1"
"295" 604327.025768 648217.298272014 4 2 "S" 1 "A1" "2S1A1"
"296" 604327.007916 648207.127303958 4 2 "S" 1 "A1" "2S1A1"
"297" 604306.6101555 648206.537217021 3 3 "S" 1 "A1" "3S1A1"
"298" 604306.630239 648216.729556024 3 3 "S" 1 "A1" "3S1A1"
"299" 604316.8280035 648217.013914019 3 3 "S" 1 "A1" "3S1A1"
"300" 604316.80903575 648206.832260489 3 3 "S" 1 "A1" "3S1A1"
"301" 604306.590072 648196.344878018 1 4 "S" 1 "A1" "4S1A1"
"302" 604306.6101555 648206.537217021 1 4 "S" 1 "A1" "4S1A1"
"303" 604316.80903575 648206.832260489 1 4 "S" 1 "A1" "4S1A1"
"304" 604316.790068 648196.65060702 1 4 "S" 1 "A1" "4S1A1"
"305" 604286.212395 648205.947130024 2 1 "T" 1 "A1" "1T1A1"
"306" 604296.41127525 648206.242173553 2 1 "T" 1 "A1" "1T1A1"
"307" 604296.4324745 648216.445198059 2 1 "T" 1 "A1" "1T1A1"
"308" 604286.23471 648216.160840034 2 1 "T" 1 "A1" "1T1A1"
"309" 604296.41127525 648206.242173553 4 2 "T" 1 "A1" "2T1A1"
"310" 604296.4324745 648216.445198059 4 2 "T" 1 "A1" "2T1A1"
"311" 604306.630239 648216.729556024 4 2 "T" 1 "A1" "2T1A1"
"312" 604306.6101555 648206.537217021 4 2 "T" 1 "A1" "2T1A1"
"313" 604296.390076 648196.039149046 3 3 "T" 1 "A1" "3T1A1"
"314" 604296.41127525 648206.242173553 3 3 "T" 1 "A1" "3T1A1"
"315" 604306.6101555 648206.537217021 3 3 "T" 1 "A1" "3T1A1"
"316" 604306.590072 648196.344878018 3 3 "T" 1 "A1" "3T1A1"
"317" 604286.19008 648195.733420014 1 4 "T" 1 "A1" "4T1A1"
"318" 604296.390076 648196.039149046 1 4 "T" 1 "A1" "4T1A1"
"319" 604296.41127525 648206.242173553 1 4 "T" 1 "A1" "4T1A1"
"320" 604286.212395 648205.947130024 1 4 "T" 1 "A1" "4T1A1"
"321" 604286.167765 648185.519709945 2 1 "U" 1 "A1" "1U1A1"
